"","queryName","queryId","matchName","matchId","guildId","guildName","reference","graph"
"26","Sphingomonas","NA","Sphingomonas prati","c(""NCBITaxon:1843237"", ""NCBI:1843237"", ""https://tree.opentreeoflife.org/opentree/ottol@5901716"", ""GBIF:9621426"")","ECOCORE:00000121","photoorganoautotroph","NA","onto:implicit"
"27","Sphingomonas","NA","Sphingomonas prati","c(""NCBITaxon:1843237"", ""NCBI:1843237"", ""https://tree.opentreeoflife.org/opentree/ottol@5901716"", ""GBIF:9621426"")","ECOCORE:00000130","photoautotroph","NA","onto:implicit"
"28","Sphingomonas","NA","Sphingomonas prati","c(""NCBITaxon:1843237"", ""NCBI:1843237"", ""https://tree.opentreeoflife.org/opentree/ottol@5901716"", ""GBIF:9621426"")","SFWO:0000001","organotroph","NA","gratin:bactotraits"
"29","Sphingomonas","NA","Sphingomonas prati","c(""NCBITaxon:1843237"", ""NCBI:1843237"", ""https://tree.opentreeoflife.org/opentree/ottol@5901716"", ""GBIF:9621426"")","ECOCORE:00000122","photolithoautotroph","NA","onto:implicit"
"30","Sphingomonas","NA","Sphingomonas prati","c(""NCBITaxon:1843237"", ""NCBI:1843237"", ""https://tree.opentreeoflife.org/opentree/ottol@5901716"", ""GBIF:9621426"")","SFWO:0000002","lithotroph","NA","gratin:bactotraits"
"31","Sphingomonas","NA","Sphingomonas prati","c(""NCBITaxon:1843237"", ""NCBI:1843237"", ""https://tree.opentreeoflife.org/opentree/ottol@5901716"", ""GBIF:9621426"")","ECOCORE:00000123","chemoorganoautotroph","NA","onto:implicit"
"32","Sphingomonas","NA","Sphingomonas prati","c(""NCBITaxon:1843237"", ""NCBI:1843237"", ""https://tree.opentreeoflife.org/opentree/ottol@5901716"", ""GBIF:9621426"")","ECOCORE:00000129","chemoautotroph","NA","onto:implicit"
"33","Sphingomonas","NA","Sphingomonas prati","c(""NCBITaxon:1843237"", ""NCBI:1843237"", ""https://tree.opentreeoflife.org/opentree/ottol@5901716"", ""GBIF:9621426"")","ECOCORE:00000124","chemolithoautotroph","NA","onto:implicit"
"34","Sphingomonas","NA","Sphingomonas prati","c(""NCBITaxon:1843237"", ""NCBI:1843237"", ""https://tree.opentreeoflife.org/opentree/ottol@5901716"", ""GBIF:9621426"")","ECOCORE:00000125","photoorganoheterotroph","NA","onto:implicit"
"35","Sphingomonas","NA","Sphingomonas prati","c(""NCBITaxon:1843237"", ""NCBI:1843237"", ""https://tree.opentreeoflife.org/opentree/ottol@5901716"", ""GBIF:9621426"")","ECOCORE:00000131","photoheterotroph","NA","onto:implicit"
"36","Sphingomonas","NA","Sphingomonas prati","c(""NCBITaxon:1843237"", ""NCBI:1843237"", ""https://tree.opentreeoflife.org/opentree/ottol@5901716"", ""GBIF:9621426"")","ECOCORE:00000126","photolithoheterotroph","NA","onto:implicit"
"37","Sphingomonas","NA","Sphingomonas prati","c(""NCBITaxon:1843237"", ""NCBI:1843237"", ""https://tree.opentreeoflife.org/opentree/ottol@5901716"", ""GBIF:9621426"")","ECOCORE:00000127","chemoorganoheterotroph","NA","onto:implicit"
"38","Sphingomonas","NA","Sphingomonas prati","c(""NCBITaxon:1843237"", ""NCBI:1843237"", ""https://tree.opentreeoflife.org/opentree/ottol@5901716"", ""GBIF:9621426"")","ECOCORE:00000132","chemoheterotroph","NA","onto:implicit"
"39","Sphingomonas","NA","Sphingomonas prati","c(""NCBITaxon:1843237"", ""NCBI:1843237"", ""https://tree.opentreeoflife.org/opentree/ottol@5901716"", ""GBIF:9621426"")","ECOCORE:00000128","chemolithoheterotroph","NA","onto:implicit"
"40","Sphingomonas","NA","Sphingomonas prati","c(""NCBITaxon:1843237"", ""NCBI:1843237"", ""https://tree.opentreeoflife.org/opentree/ottol@5901716"", ""GBIF:9621426"")","SFWO:0000000","chemotroph","NA","gratin:bactotraits"
"41","Sphingomonas","NA","Sphingomonas prati","c(""NCBITaxon:1843237"", ""NCBI:1843237"", ""https://tree.opentreeoflife.org/opentree/ottol@5901716"", ""GBIF:9621426"")","SFWO:0000007","phototroph","NA","gratin:bactotraits"
"42","Sphingomonas","NA","Sphingomonas crocodyli","c(""NCBITaxon:1979270"", ""NCBI:1979270"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"43","Sphingomonas","NA","Sphingomonas crocodyli","c(""NCBITaxon:1979270"", ""NCBI:1979270"")","SFWO:0000062","microorganism","NA","onto:implicit"
"44","Sphingomonas","NA","Sphingomonas crocodyli","c(""NCBITaxon:1979270"", ""NCBI:1979270"")","ECOCORE:00000132","chemoheterotroph","NA","gratin:bacdive"
"45","Sphingomonas","NA","Sphingomonas crocodyli","c(""NCBITaxon:1979270"", ""NCBI:1979270"")","SFWO:0000000","chemotroph","NA","onto:implicit"
"46","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"47","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","SFWO:0000062","microorganism","NA","onto:implicit"
"48","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","SFWO:0000001","organotroph","NA","onto:implicit"
"49","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","ECOCORE:00000127","chemoorganoheterotroph","NA","gratin:bacdive"
"50","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","ECOCORE:00000132","chemoheterotroph","NA","onto:implicit"
"51","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","SFWO:0000000","chemotroph","NA","onto:implicit"
"52","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","ECOCORE:00000010","heterotroph","NA","gratin:bactotraits"
"53","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","ECOCORE:00000023","autotroph","NA","gratin:bactotraits"
"54","Skermanella","NA","Skermanella rosea","c(""NCBITaxon:1817965"", ""NCBI:1817965"", ""https://tree.opentreeoflife.org/opentree/ottol@5900748"", ""GBIF:9500454"")","ECOCORE:00000121","photoorganoautotroph","NA","onto:implicit"
