"","queryName","queryId","matchName","matchId","interactionId","interactionName","resourceId","resourceName","reference","graph"
"1","Alternaria","NA","Alternaria","c(""NCBITaxon:5598"", ""IF:7106"", ""https://tree.opentreeoflife.org/opentree/ottol@464790"", ""NCBI:5598"", ""GBIF:2616104"")","RO:0002444","parasite of","NCBI:58023","Tracheophyta","NA","gratin:hedde_misc1"
"2","Metarhizium","NA","Metarhizium","c(""NCBITaxon:5529"", ""IF:8912"", ""GBIF:2562464"", ""https://tree.opentreeoflife.org/opentree/ottol@888947"", ""NCBI:5529"")","RO:0002444","parasite of","NCBI:6656","Arthropoda","NA","gratin:hedde_misc1"
"3","Waitea","NA","Waitea circinata","c(""NCBITaxon:63190"", ""NCBI:63190"", ""GBIF:5249953"", ""https://tree.opentreeoflife.org/opentree/ottol@255774"")","RO:0002444","parasite of","NCBI:370721","Festuca nigrescens","NA","gratin:hedde_misc1"
"4","Waitea","NA","Waitea circinata","c(""NCBITaxon:63190"", ""NCBI:63190"", ""GBIF:5249953"", ""https://tree.opentreeoflife.org/opentree/ottol@255774"")","RO:0002444","parasite of","NCBI:63632","Agrostis stolonifera","NA","gratin:hedde_misc1"
"5","Waitea","NA","Waitea circinata","c(""NCBITaxon:63190"", ""NCBI:63190"", ""GBIF:5249953"", ""https://tree.opentreeoflife.org/opentree/ottol@255774"")","RO:0002444","parasite of","NCBI:28909","Cynodon dactylon","NA","gratin:hedde_misc1"
"6","Waitea","NA","Waitea circinata","c(""NCBITaxon:63190"", ""NCBI:63190"", ""GBIF:5249953"", ""https://tree.opentreeoflife.org/opentree/ottol@255774"")","RO:0002444","parasite of","NCBI:4545","Poa pratensis","NA","gratin:hedde_misc1"
"7","Waitea","NA","Waitea circinata","c(""NCBITaxon:63190"", ""NCBI:63190"", ""GBIF:5249953"", ""https://tree.opentreeoflife.org/opentree/ottol@255774"")","RO:0002444","parasite of","GBIF:5359181","Trifolium vestitum","NA","gratin:hedde_misc1"
"8","Waitea","NA","Waitea circinata","c(""NCBITaxon:63190"", ""NCBI:63190"", ""GBIF:5249953"", ""https://tree.opentreeoflife.org/opentree/ottol@255774"")","RO:0002444","parasite of","NCBI:38727","Panicum virgatum","NA","gratin:hedde_misc1"
"9","Waitea","NA","Waitea circinata","c(""NCBITaxon:63190"", ""NCBI:63190"", ""GBIF:5249953"", ""https://tree.opentreeoflife.org/opentree/ottol@255774"")","RO:0002444","parasite of","https://tree.opentreeoflife.org/opentree/ottol@105576","Festuca arundinacea","NA","gratin:hedde_misc1"
"10","Waitea","NA","Waitea circinata","c(""NCBITaxon:63190"", ""NCBI:63190"", ""GBIF:5249953"", ""https://tree.opentreeoflife.org/opentree/ottol@255774"")","RO:0002444","parasite of","NCBI:158149","Paspalum vaginatum","NA","gratin:hedde_misc1"
