"","db","query","kingdom","phylum","class","order","family","genus","species"
"22","ncbi","Pterygota",NA,NA,NA,NA,NA,NA,NA
"44","ncbi","Apioninae",NA,NA,NA,NA,NA,NA,NA
"86","ncbi","Drapetini",NA,NA,NA,NA,NA,NA,NA
"96","ncbi","Tanaemyrmex",NA,NA,NA,NA,NA,NA,NA
"102","ncbi","Dasytini",NA,NA,NA,NA,NA,NA,NA
"104","ncbi","Acaridia",NA,NA,NA,NA,NA,NA,NA
"176","ncbi","Araneinae",NA,NA,NA,NA,NA,NA,NA
"178","ncbi","Phonognathinae",NA,NA,NA,NA,NA,NA,NA
