queryName;queryId;matchName;matchId;guildId;guildName;reference;graph
Aporcelaimidae;NA;Aporcelaimellus;"c(""NCBITaxon:211278"", ""NCBI:211278"", ""GBIF:2282747"", ""https://tree.opentreeoflife.org/opentree/ottol@714993"")";SFWO:0000061;microbivore;NA;onto:implicit
Aporcelaimidae;NA;Aporcelaimellus;"c(""NCBITaxon:211278"", ""NCBI:211278"", ""GBIF:2282747"", ""https://tree.opentreeoflife.org/opentree/ottol@714993"")";SFWO:0000465;microalgivore;NA;onto:implicit
Aporcelaimidae;NA;Aporcelaimellus;"c(""NCBITaxon:211278"", ""NCBI:211278"", ""GBIF:2282747"", ""https://tree.opentreeoflife.org/opentree/ottol@714993"")";SFWO:0000065;protistivore;NA;onto:implicit
Aporcelaimidae;NA;Aporcelaimellus;"c(""NCBITaxon:211278"", ""NCBI:211278"", ""GBIF:2282747"", ""https://tree.opentreeoflife.org/opentree/ottol@714993"")";ECOCORE:00000015;fungivore;NA;onto:implicit
Aporcelaimidae;NA;Aporcelaimellus;"c(""NCBITaxon:211278"", ""NCBI:211278"", ""GBIF:2282747"", ""https://tree.opentreeoflife.org/opentree/ottol@714993"")";ECOCORE:00000019;herbivore;NA;onto:implicit
Aporcelaimidae;NA;Aporcelaimellus;"c(""NCBITaxon:211278"", ""NCBI:211278"", ""GBIF:2282747"", ""https://tree.opentreeoflife.org/opentree/ottol@714993"")";SFWO:0000027;bryophage;NA;onto:implicit
Aporcelaimidae;NA;Aporcelaimellus;"c(""NCBITaxon:211278"", ""NCBI:211278"", ""GBIF:2282747"", ""https://tree.opentreeoflife.org/opentree/ottol@714993"")";ECOCORE:00000088;carnivore;NA;onto:implicit
Aporcelaimidae;NA;Aporcelaimellus;"c(""NCBITaxon:211278"", ""NCBI:211278"", ""GBIF:2282747"", ""https://tree.opentreeoflife.org/opentree/ottol@714993"")";ECOCORE:00000089;predator;NA;onto:implicit
Aporcelaimidae;NA;Aporcelaimellus;"c(""NCBITaxon:211278"", ""NCBI:211278"", ""GBIF:2282747"", ""https://tree.opentreeoflife.org/opentree/ottol@714993"")";SFWO:0000019;nematophage;NA;onto:implicit
Aporcelaimidae;NA;Paraxonchium;"c(""NCBITaxon:211260"", ""NCBI:211260"", ""https://tree.opentreeoflife.org/opentree/ottol@328182"", ""GBIF:4405272"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Aporcelaimidae;NA;Paraxonchium;"c(""NCBITaxon:211260"", ""NCBI:211260"", ""https://tree.opentreeoflife.org/opentree/ottol@328182"", ""GBIF:4405272"")";SFWO:0000512;microphytophage;NA;onto:implicit
Aporcelaimidae;NA;Paraxonchium;"c(""NCBITaxon:211260"", ""NCBI:211260"", ""https://tree.opentreeoflife.org/opentree/ottol@328182"", ""GBIF:4405272"")";ECOCORE:00000098;bacterivore;NA;onto:implicit
Aporcelaimidae;NA;Paraxonchium;"c(""NCBITaxon:211260"", ""NCBI:211260"", ""https://tree.opentreeoflife.org/opentree/ottol@328182"", ""GBIF:4405272"")";SFWO:0000061;microbivore;NA;onto:implicit
