queryName;queryId;matchName;matchId;guildId;guildName;reference;graph
Theridiidae;NA;Episinus truncatus;"c(""NCBITaxon:1871951"", ""NCBI:1871951"", ""GBIF:2156125"", ""https://tree.opentreeoflife.org/opentree/ottol@3562388"")";ECOCORE:00000088;carnivore;NA;onto:implicit
Theridiidae;NA;Euryopis flavomaculata;"c(""NCBITaxon:1871954"", ""NCBI:1871954"", ""https://tree.opentreeoflife.org/opentree/ottol@3563386"", ""GBIF:2155761"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Theridiidae;NA;Euryopis flavomaculata;"c(""NCBITaxon:1871954"", ""NCBI:1871954"", ""https://tree.opentreeoflife.org/opentree/ottol@3563386"", ""GBIF:2155761"")";ECOCORE:00000088;carnivore;NA;onto:implicit
Theridiidae;NA;Neottiura herbigrada;"c(""NCBITaxon:1871981"", ""NCBI:1871981"", ""https://tree.opentreeoflife.org/opentree/ottol@3562167"", ""GBIF:2156263"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Theridiidae;NA;Neottiura herbigrada;"c(""NCBITaxon:1871981"", ""NCBI:1871981"", ""https://tree.opentreeoflife.org/opentree/ottol@3562167"", ""GBIF:2156263"")";ECOCORE:00000088;carnivore;NA;onto:implicit
Theridiidae;NA;Neottiura;"c(""NCBITaxon:233473"", ""NCBI:233473"", ""https://tree.opentreeoflife.org/opentree/ottol@913364"", ""GBIF:2156262"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Theridiidae;NA;Neottiura;"c(""NCBITaxon:233473"", ""NCBI:233473"", ""https://tree.opentreeoflife.org/opentree/ottol@913364"", ""GBIF:2156262"")";ECOCORE:00000088;carnivore;NA;onto:implicit
Theridiidae;NA;Neottiura suaveolens;"c(""NCBITaxon:1871982"", ""NCBI:1871982"", ""https://tree.opentreeoflife.org/opentree/ottol@3562165"", ""GBIF:2156266"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Theridiidae;NA;Neottiura suaveolens;"c(""NCBITaxon:1871982"", ""NCBI:1871982"", ""https://tree.opentreeoflife.org/opentree/ottol@3562165"", ""GBIF:2156266"")";ECOCORE:00000088;carnivore;NA;onto:implicit
Theridiidae;NA;Parasteatoda lunata;"c(""NCBITaxon:1871986"", ""NCBI:1871986"", ""GBIF:4550746"", ""https://tree.opentreeoflife.org/opentree/ottol@3563854"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Theridiidae;NA;Parasteatoda lunata;"c(""NCBITaxon:1871986"", ""NCBI:1871986"", ""GBIF:4550746"", ""https://tree.opentreeoflife.org/opentree/ottol@3563854"")";ECOCORE:00000088;carnivore;NA;onto:implicit
Theridiidae;NA;Phylloneta sisyphia;"c(""NCBITaxon:1871992"", ""NCBI:1871992"", ""https://tree.opentreeoflife.org/opentree/ottol@3563149"", ""GBIF:4550668"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Theridiidae;NA;Phylloneta sisyphia;"c(""NCBITaxon:1871992"", ""NCBI:1871992"", ""https://tree.opentreeoflife.org/opentree/ottol@3563149"", ""GBIF:4550668"")";ECOCORE:00000088;carnivore;NA;onto:implicit
Theridiidae;NA;Phylloneta sisyphia;"c(""NCBITaxon:1871992"", ""NCBI:1871992"", ""https://tree.opentreeoflife.org/opentree/ottol@3563149"", ""GBIF:4550668"")";ECOCORE:00000088;carnivore;NA;gratin:gossner_arthropoda
Theridiidae;NA;Robertus truncorum;"c(""NCBITaxon:1871998"", ""NCBI:1871998"", ""https://tree.opentreeoflife.org/opentree/ottol@3562443"", ""GBIF:2155887"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Theridiidae;NA;Robertus truncorum;"c(""NCBITaxon:1871998"", ""NCBI:1871998"", ""https://tree.opentreeoflife.org/opentree/ottol@3562443"", ""GBIF:2155887"")";ECOCORE:00000088;carnivore;NA;onto:implicit
Theridiidae;NA;Theridion betteni;"c(""NCBITaxon:1872007"", ""NCBI:1872007"", ""GBIF:2157040"", ""https://tree.opentreeoflife.org/opentree/ottol@3563043"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Theridiidae;NA;Theridion betteni;"c(""NCBITaxon:1872007"", ""NCBI:1872007"", ""GBIF:2157040"", ""https://tree.opentreeoflife.org/opentree/ottol@3563043"")";ECOCORE:00000088;carnivore;NA;onto:implicit
Theridiidae;NA;Heterotheridion;"c(""NCBITaxon:1872044"", ""NCBI:1872044"", ""GBIF:4408082"", ""https://tree.opentreeoflife.org/opentree/ottol@5125971"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Theridiidae;NA;Heterotheridion;"c(""NCBITaxon:1872044"", ""NCBI:1872044"", ""GBIF:4408082"", ""https://tree.opentreeoflife.org/opentree/ottol@5125971"")";ECOCORE:00000088;carnivore;NA;onto:implicit
