"","query","kingdom","phylum","class","order","family","genus","species","community"
"1100","M03493:516:000000000-L4LRP:1:1102:11646:19186","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus","unassigned","fungi"
"1101","M03493:516:000000000-L4LRP:1:1102:10391:15295","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","unassigned","unassigned","unassigned","fungi"
"1102","M03493:516:000000000-L4LRP:1:1103:4651:16129","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma_flocculosum","fungi"
"1103","M03493:516:000000000-L4LRP:1:1110:6158:21078","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"1104","M03493:516:000000000-L4LRP:1:1107:13613:6675","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"1105","M03493:516:000000000-L4LRP:1:1102:16836:15601","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella","Hannaella_oryzae","fungi"
"1106","M03493:516:000000000-L4LRP:1:1103:3781:18835","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Proliferodiscus","Proliferodiscus_earoleucus","fungi"
"1107","M03493:516:000000000-L4LRP:1:2101:6276:8754","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenales_fam_Incertae_sedis","Chrysosporium","Chrysosporium_pseudomerdarium","fungi"
"1108","M03493:516:000000000-L4LRP:1:1110:13498:6651","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"1109","M03493:516:000000000-L4LRP:1:1101:4331:19146","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiosphaerella","Ophiosphaerella_herpotricha","fungi"
"1110","M03493:516:000000000-L4LRP:1:1113:23281:11325","Fungi","Ascomycota","Eurotiomycetes","Onygenales","unassigned","unassigned","unassigned","fungi"
"1111","M03493:516:000000000-L4LRP:1:1103:5218:18798","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_dimennae","fungi"
"1112","M03493:516:000000000-L4LRP:1:1112:27827:9247","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"1113","M03493:516:000000000-L4LRP:1:1101:13826:6322","Fungi","Ascomycota","Dothideomycetes","unassigned","unassigned","unassigned","unassigned","fungi"
"1114","M03493:516:000000000-L4LRP:1:2107:18261:18835","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Epicoccum","Epicoccum_draconis","fungi"
"1115","M03493:516:000000000-L4LRP:1:1103:9679:23232","Fungi","Ascomycota","Sordariomycetes","unassigned","unassigned","unassigned","unassigned","fungi"
"1116","M03493:516:000000000-L4LRP:1:1101:17148:9405","Fungi","Ascomycota","Sordariomycetes","Xylariales","Coniocessiaceae","Coniocessia","Coniocessia_maxima","fungi"
"1117","M03493:516:000000000-L4LRP:1:2106:25130:17035","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_spelaeus","fungi"
"1118","M03493:516:000000000-L4LRP:1:1102:22695:4799","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unassigned","unassigned","unassigned","fungi"
"1119","M03493:516:000000000-L4LRP:1:1103:24910:10479","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"1120","M03493:516:000000000-L4LRP:1:1111:28359:14875","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","Trichosporon_asahii","fungi"
"1121","M03493:516:000000000-L4LRP:1:1101:12993:25808","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"1122","M03493:516:000000000-L4LRP:1:1108:28899:12692","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unassigned","unassigned","unassigned","fungi"
"1123","M03493:516:000000000-L4LRP:1:1101:18390:14432","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unassigned","unassigned","unassigned","fungi"
"1124","M03493:516:000000000-L4LRP:1:1101:8753:27038","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"1125","M03493:516:000000000-L4LRP:1:1104:12984:15433","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
