"finest_name","kingdom","phylum","class","order","family","genus","species","community"
"Nectriopsis exigua::Cluster_42","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Nectriopsis","Nectriopsis exigua","fungi"
"Agrocybe pediades::Cluster_80","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Agrocybe","Agrocybe pediades","fungi"
"Fungi::Cluster_137","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"Fungi::Cluster_44","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"Verrucaria::Cluster_140","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae","Verrucaria","unassigned","fungi"
"Chaetothyriales::Cluster_49","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","unassigned","unassigned","unassigned","fungi"
"Coprinellus verrucispermus::Cluster_1365","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus","Coprinellus verrucispermus","fungi"
"Pseudopithomyces rosae::Cluster_52","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Pseudopithomyces","Pseudopithomyces rosae","fungi"
"Pseudopithomyces rosae::Cluster_53","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Pseudopithomyces","Pseudopithomyces rosae","fungi"
"Fungi::Cluster_521","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"Preussia terricola::Cluster_194","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia terricola","fungi"
"Didymella::Cluster_250","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella","unassigned","fungi"
"Fungi::Cluster_191","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"Preussia persica::Cluster_237","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia persica","fungi"
"Stemphylium eturmiunum::Cluster_206","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Stemphylium","Stemphylium eturmiunum","fungi"
"Bipolaris sorokiniana::Cluster_550","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris","Bipolaris sorokiniana","fungi"
"Fungi::Cluster_347","Fungi","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"Ascomycota::Cluster_381","Fungi","Ascomycota","unassigned","unassigned","unassigned","unassigned","unassigned","fungi"
"Trichoderma lixii::Cluster_245","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","Trichoderma lixii","fungi"
"Clohesyomyces aquaticus::Cluster_61","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lindgomycetaceae","Clohesyomyces","Clohesyomyces aquaticus","fungi"
"Talaromyces sayulitensis::Cluster_119","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces sayulitensis","fungi"
"Ascobolus::Cluster_26","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","unassigned","fungi"
"Robillarda sessilis::Cluster_8","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales fam_Incertae_sedis","Robillarda","Robillarda sessilis","fungi"
"Hypocreales::Cluster_10","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unassigned","unassigned","unassigned","fungi"
"Paraphaeosphaeria angularis::Cluster_68","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","Paraphaeosphaeria angularis","fungi"
