"finest_name","kingdom","phylum","class","order","family","genus","species","community"
"Cercomonadidae::Cluster_124","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"Athalamea environmental sample::Cluster_70","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","Athalamea environmental sample","protists"
"Cercomonadidae::Cluster_125","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"Heteromita::Cluster_71","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Heteromita::Cluster_126","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Euglyphida::Cluster_73","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"Cercomonas directa::Cluster_128","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","Cercomonas directa","protists"
"Cercozoa::Cluster_74","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned","protists"
"Bodomorpha sp.::Cluster_129","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","Bodomorpha sp.","protists"
"Spongomonas minima::Cluster_75","Eukaryota","Cercozoa","Imbricatea","Spongomonadida","unassigned","Spongomonas","Spongomonas minima","protists"
"Thecofilosea::Cluster_136","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"Heteromita::Cluster_130","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Heteromita::Cluster_82","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Rhogostoma::Cluster_84","Eukaryota","Cercozoa","Thecofilosea","Cryomonadida","Rhizaspididae","Rhogostoma","unassigned","protists"
"Trinema lineare::Cluster_78","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","Trinema","Trinema lineare","protists"
"Thecofilosea::Cluster_134","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"Cercomonas::Cluster_139","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","unassigned","protists"
"Heteromita::Cluster_86","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Cercomonadidae::Cluster_87","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"Thecofilosea::Cluster_90","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"Heteromita::Cluster_147","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Cercomonadidae::Cluster_150","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"Heteromita::Cluster_97","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Heteromita::Cluster_98","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Cercomonas::Cluster_99","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","unassigned","protists"
"Cercomonadidae::Cluster_101","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","unassigned","unassigned","protists"
"Cercozoa::Cluster_156","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned","protists"
"Cercomonas fastiga::Cluster_306","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","Gymnophrys","Cercomonas fastiga","protists"
"Heteromita::Cluster_103","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Polymyxa::Cluster_926","Eukaryota","Cercozoa","Phytomyxea","unassigned","unassigned","Polymyxa","unassigned","protists"
"Proleptomonas::Cluster_166","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Proleptomonas","unassigned","protists"
"Euglyphida::Cluster_220","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"Heteromita::Cluster_372","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Heteromita::Cluster_107","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Thecofilosea::Cluster_375","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"Spongomonas::Cluster_108","Eukaryota","Cercozoa","Imbricatea","Spongomonadida","unassigned","Spongomonas","unassigned","protists"
"Cercozoa::Cluster_244","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned","protists"
"Euglyphida::Cluster_340","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"Thaumatomastigidae environmental sample::Cluster_110","Eukaryota","Cercozoa","Imbricatea","unassigned","Thaumatomonadida","Gyromitus","Thaumatomastigidae environmental sample","protists"
"Paracercomonas::Cluster_171","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Paracercomonas","unassigned","protists"
"Cercomonas::Cluster_246","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","unassigned","protists"
"Thaumatomonadida::Cluster_208","Eukaryota","Cercozoa","Imbricatea","unassigned","Thaumatomonadida","unassigned","unassigned","protists"
"Thecofilosea::Cluster_359","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"Glissomonadida::Cluster_190","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","unassigned","unassigned","protists"
"Euglypha rotunda::Cluster_259","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","Euglypha","Euglypha rotunda","protists"
"Thaumatomonadida::Cluster_253","Eukaryota","Cercozoa","Imbricatea","unassigned","Thaumatomonadida","unassigned","unassigned","protists"
"Polymyxa::Cluster_247","Eukaryota","Cercozoa","Phytomyxea","unassigned","unassigned","Polymyxa","unassigned","protists"
"Cercomonas::Cluster_199","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","unassigned","protists"
"Cercomonas::Cluster_269","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","unassigned","protists"
"Novel Clade 2::Cluster_174","Eukaryota","Cercozoa","Novel Clade 2","unassigned","unassigned","unassigned","unassigned","protists"
"Cercomonas::Cluster_412","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","unassigned","protists"
"Heteromita::Cluster_213","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Cercomonas::Cluster_206","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","unassigned","protists"
"Cercomonas::Cluster_207","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","unassigned","protists"
"Heteromita::Cluster_258","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Nudifila::Cluster_238","Eukaryota","Cercozoa","Imbricatea","unassigned","unassigned","Nudifila","unassigned","protists"
"eukaryotic picoplankton environmental sample::Cluster_234","Eukaryota","Cercozoa","Cercomonadidae","unassigned","unassigned","Cercomonas","eukaryotic picoplankton environmental sample","protists"
"Paulinella::Cluster_272","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","Paulinella","unassigned","protists"
"Thecofilosea::Cluster_180","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"Paulinella::Cluster_236","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","Paulinella","unassigned","protists"
"Heteromita::Cluster_439","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Thecofilosea::Cluster_181","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"Euglyphida::Cluster_179","Eukaryota","Cercozoa","Imbricatea","unassigned","Euglyphida","unassigned","unassigned","protists"
"Thecofilosea::Cluster_415","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","unassigned","unassigned","protists"
"Glissomonadida::Cluster_383","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","unassigned","unassigned","protists"
"Heteromita::Cluster_217","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Heteromita::Cluster_219","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Lecythium::Cluster_293","Eukaryota","Cercozoa","Thecofilosea","unassigned","unassigned","Lecythium","unassigned","protists"
"Heteromita::Cluster_473","Eukaryota","Cercozoa","Glissomonadida","unassigned","unassigned","Heteromita","unassigned","protists"
"Cercozoa::Cluster_287","Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned","protists"
