"","db","query","kingdom","phylum","class","order","family","genus","species","community"
"195","itis","Hypurus bertrandi","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","Hypurus","Hypurus bertrandi","macrofauna_surface"
"196","itis","Parmulini","Metazoa","Arthropoda","Insecta","Coleoptera","Corylophidae","unassigned","unassigned","macrofauna_surface"
"197","itis","Himacerus","Metazoa","Arthropoda","Insecta","Hemiptera","Nabidae","Himacerus","unassigned","macrofauna_surface"
"198","itis","Lasius","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius","unassigned","macrofauna_surface"
"199","itis","Euophrys sulphurea","Metazoa","Arthropoda","Euchelicerata","Araneae","Salticidae","Euophrys","Euophrys sulphurea","macrofauna_surface"
"200","itis","Rhipicephalus","Metazoa","Arthropoda","Euchelicerata","Ixodida","Ixodidae","Rhipicephalus","unassigned","macrofauna_surface"
"201","unassigned","Oxytelini","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Oxytelini","unassigned","macrofauna_surface"
"202","unassigned","Philonthina","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","unassigned","unassigned","macrofauna_surface"
"203","unassigned","Gnaphosoidea","Metazoa","Arthropoda","Arachnida","Araneae","Gnaphosidae","unassigned","unassigned","macrofauna_surface"
"204","unassigned","Lathrobiina","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","unassigned","unassigned","macrofauna_surface"
"205","unassigned","Hirticomus","Metazoa","Arthropoda","Insecta","Coleoptera","Anthicidae","Hirticomus","unassigned","macrofauna_surface"
"206","unassigned","Cataglyphis pallidula","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Cataglyphis","Cataglyphis pallidula","macrofauna_surface"
"207","unassigned","Anchicera","Metazoa","Arthropoda","Insecta","Coleoptera","Cryptophagidae","Atomaria","unassigned","macrofauna_surface"
"208","unassigned","Pangus scaritides","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Pangus","Pangus scaritides","macrofauna_surface"
"209","unassigned","Priocnemis propinqua","Metazoa","Arthropoda","Insecta","Hymenoptera","Pompilidae","Priocnemis","Priocnemis propinqua","macrofauna_surface"
"210","unassigned","Agalliina","Metazoa","Arthropoda","Insecta","Hemiptera","Cicadellidae","unassigned","unassigned","macrofauna_surface"
"211","unassigned","Nitidulini","Metazoa","Arthropoda","Insecta","Coleoptera","Nitidulidae","unassigned","unassigned","macrofauna_surface"
"212","unassigned","Geotomini","Metazoa","Arthropoda","Insecta","Hemiptera","Cydnidae","unassigned","unassigned","macrofauna_surface"
"213","unassigned","Thomisinae","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","unassigned","unassigned","macrofauna_surface"
"214","unassigned","Pteromalini","Metazoa","Arthropoda","Insecta","Hymenoptera","Pteromalidae","unassigned","unassigned","macrofauna_surface"
"215","unassigned","Chlaenius decipiens","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Chlaenius","Chlaenius decipiens","macrofauna_surface"
"216","unassigned","Rhyssemina","Metazoa","Arthropoda","Insecta","Coleoptera","Scarabaeidae","unassigned","unassigned","macrofauna_surface"
"217","unassigned","Thomisoidea","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","unassigned","unassigned","macrofauna_surface"
