"","db","query","kingdom","phylum","class","order","family","genus","species","community"
"46","ncbi","Apion","Metazoa","Arthropoda","Insecta","Coleoptera","Apionidae","Apion","unassigned","macrofauna_surface"
"47","ncbi","Arionidae","Metazoa","Mollusca","Gastropoda","Stylommatophora","Arionidae","unassigned","unassigned","macrofauna_surface"
"48","ncbi","Asagena","Metazoa","Arthropoda","Arachnida","Araneae","Theridiidae","Asagena","unassigned","macrofauna_surface"
"49","ncbi","Lepidoptera","Metazoa","Arthropoda","Insecta","Lepidoptera","unassigned","unassigned","unassigned","macrofauna_surface"
"50","ncbi","Histeridae","Metazoa","Arthropoda","Insecta","Coleoptera","Histeridae","unassigned","unassigned","macrofauna_surface"
"51","ncbi","Arion","Metazoa","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","unassigned","macrofauna_surface"
"52","ncbi","Thomisidae","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","unassigned","unassigned","macrofauna_surface"
"53","ncbi","Dermestidae","Metazoa","Arthropoda","Insecta","Coleoptera","Dermestidae","unassigned","unassigned","macrofauna_surface"
"54","ncbi","Thysanoptera","Metazoa","Arthropoda","Insecta","Thysanoptera","unassigned","unassigned","unassigned","macrofauna_surface"
"55","ncbi","Pisaura mirabilis","Metazoa","Arthropoda","Arachnida","Araneae","Pisauridae","Pisaura","Pisaura mirabilis","macrofauna_surface"
"56","ncbi","Plagiolepis pygmaea","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Plagiolepis","Plagiolepis pygmaea","macrofauna_surface"
"57","ncbi","Hemiptera","Metazoa","Arthropoda","Insecta","Hemiptera","unassigned","unassigned","unassigned","macrofauna_surface"
"58","ncbi","Phalangioidea","Metazoa","Arthropoda","Arachnida","Opiliones","unassigned","unassigned","unassigned","macrofauna_surface"
"59","ncbi","Acari","Metazoa","Arthropoda","Arachnida","unassigned","unassigned","unassigned","unassigned","macrofauna_surface"
"60","ncbi","Elateridae","Metazoa","Arthropoda","Insecta","Coleoptera","Elateridae","unassigned","unassigned","macrofauna_surface"
"61","ncbi","Synema globosum","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Synema","Synema globosum","macrofauna_surface"
"62","ncbi","Calathus melanocephalus","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Calathus","Calathus melanocephalus","macrofauna_surface"
"63","ncbi","Psylloidea","Metazoa","Arthropoda","Insecta","Hemiptera","unassigned","unassigned","unassigned","macrofauna_surface"
"64","ncbi","Xysticus","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Xysticus","unassigned","macrofauna_surface"
"65","ncbi","Porcellio laevis","Metazoa","Arthropoda","Malacostraca","Isopoda","Porcellionidae","Porcellio","Porcellio laevis","macrofauna_surface"
