"finest_name","kingdom","phylum","class","order","family","genus","species","community"
"Passaloecus","Metazoa","Arthropoda","Insecta","Hymenoptera","Crabronidae","Passaloecus","unassigned","macrofauna_aerial"
"Pellenes","Metazoa","Arthropoda","Arachnida","Araneae","Salticidae","Pellenes","unassigned","macrofauna_aerial"
"Pemphredon","Metazoa","Arthropoda","Insecta","Hymenoptera","Crabronidae","Pemphredon","unassigned","macrofauna_aerial"
"Pemphredonina","Metazoa","Arthropoda","Insecta","Hymenoptera","Crabronidae","unassigned","unassigned","macrofauna_aerial"
"Pezotettix","Metazoa","Arthropoda","Insecta","Orthoptera","Acrididae","Pezotettix","unassigned","macrofauna_aerial"
"Philodromidae","Metazoa","Arthropoda","Arachnida","Araneae","Philodromidae","unassigned","unassigned","macrofauna_aerial"
"Philodromus","Metazoa","Arthropoda","Arachnida","Araneae","Philodromidae","Philodromus","unassigned","macrofauna_aerial"
"Phyllotreta","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Phyllotreta","unassigned","macrofauna_aerial"
"Piezodorus lituratus","Metazoa","Arthropoda","Insecta","Hemiptera","Pentatomidae","Piezodorus","Piezodorus lituratus","macrofauna_aerial"
"Pimplini","Metazoa","Arthropoda","Insecta","Hymenoptera","Ichneumonidae","unassigned","unassigned","macrofauna_aerial"
"Platygastroidea","Metazoa","Arthropoda","Insecta","Hymenoptera","unassigned","unassigned","unassigned","macrofauna_aerial"
"Platynaspis luteorubra","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Platynaspis","Platynaspis luteorubra","macrofauna_aerial"
"Pleurophorus","Metazoa","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Pleurophorus","unassigned","macrofauna_aerial"
"Polistes","Metazoa","Arthropoda","Insecta","Hymenoptera","Vespidae","Polistes","unassigned","macrofauna_aerial"
"Polistes dominula","Metazoa","Arthropoda","Insecta","Hymenoptera","Vespidae","Polistes","Polistes dominula","macrofauna_aerial"
"Proctotrupomorpha","Metazoa","Arthropoda","Insecta","Hymenoptera","unassigned","unassigned","unassigned","macrofauna_aerial"
"Propylea quatuordecimpunctata","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Propylea","Propylea quattuordecimpunctata","macrofauna_aerial"
"Protapion","Metazoa","Arthropoda","Insecta","Coleoptera","Apionidae","Protapion","unassigned","macrofauna_aerial"
"Protapion fulvipes","Metazoa","Arthropoda","Insecta","Coleoptera","Apionidae","Protapion","Protapion fulvipes","macrofauna_aerial"
"Pseudomalus","Metazoa","Arthropoda","Insecta","Hymenoptera","Chrysididae","Pseudomalus","unassigned","macrofauna_aerial"
"Psocodea","Metazoa","Arthropoda","Insecta","unassigned","unassigned","unassigned","unassigned","macrofauna_aerial"
"Psyllobora vigintiduopunctata","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Psyllobora","Psyllobora vigintiduopunctata","macrofauna_aerial"
"Psylloidea","Metazoa","Arthropoda","Insecta","Hemiptera","unassigned","unassigned","unassigned","macrofauna_aerial"
"Pteromalidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Pteromalidae","unassigned","unassigned","macrofauna_aerial"
"Ptiliidae","Metazoa","Arthropoda","Insecta","Coleoptera","Ptiliidae","unassigned","unassigned","macrofauna_aerial"
"Rhinocyllus conicus","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","Rhinocyllus","Rhinocyllus conicus","macrofauna_aerial"
"Rhodanthidium septemdentatum","Metazoa","Arthropoda","Insecta","Hymenoptera","Megachilidae","Rhodanthidium","Rhodanthidium septemdentatum","macrofauna_aerial"
