"community","n_distinct_finest_name","step"
"bacteria",1491,"step_B"
"fungi",858,"step_B"
"macrofauna_aerial",269,"step_B"
"macrofauna_foliar",99,"step_B"
"macrofauna_surface",217,"step_B"
"micro_arthropodes",72,"step_B"
"nematodes",30,"step_B"
"protists",1060,"step_B"
