query;kingdom;phylum;class;order;family;genus;species;reference;date
Pterygota;Animalia;Arthropoda;Insecta;NA;NA;NA;NA;wikipedia;25/04/2024
Apioninae;Animalia;Arthropoda;Insecta;Coleoptera;Brentidae;NA;NA;wikipedia;25/04/2024
Drapetini;Animalia;Arthropoda;Insecta;Diptera;Hybotidae;NA;NA;wikipedia;25/04/2024
Tanaemyrmex;Animalia;Arthropoda;Insecta;Hymenoptera;Formicidae;Camponotus;NA;antwiki;25/04/2024
Dasytini;Animalia;Arthropoda;Insecta;Coleoptera;Melyridae;NA;NA;wikipedia;25/04/2024
Acaridia;Animalia;Arthropoda;Arachnida;Sarcoptiformes;Acaridae;NA;NA;wikipedia;25/04/2024
Araneinae;Animalia;Arthropoda;Arachnida;Araneae;Araneidae;NA;NA;wikipedia;25/04/2024
Phonognathinae;Animalia;Arthropoda;Arachnida;Araneae;Araneidae;NA;NA;wikispecies;25/04/2024
