"","query","kingdom","phylum","class","order","family","genus","species"
"22","Pterygota",NA,NA,NA,NA,NA,NA,NA
"44","Apioninae",NA,NA,NA,NA,NA,NA,NA
"86","Drapetini",NA,NA,NA,NA,NA,NA,NA
"96","Tanaemyrmex",NA,NA,NA,NA,NA,NA,NA
"102","Dasytini",NA,NA,NA,NA,NA,NA,NA
"104","Acaridia",NA,NA,NA,NA,NA,NA,NA
"176","Araneinae",NA,NA,NA,NA,NA,NA,NA
"179","Phonognathinae",NA,NA,NA,NA,NA,NA,NA
