"queryName","queryId","matchName","matchId","interactionId","interactionName","resourceId","resourceName","reference","graph","level","community"
"Forficulidae",NA,"Forficula","c(""NCBITaxon:13067"", ""NCBI:13067"", ""GBIF:1419844"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"")","RO:0002470","eats","NCBI:6893","Araneae",NA,"gratin:hedde_misc1","family","macrofauna_foliar"
"Forficulidae",NA,"Forficula","c(""NCBITaxon:13067"", ""NCBI:13067"", ""GBIF:1419844"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"")","RO:0002470","eats","NCBI:4751","Fungi",NA,"gratin:hedde_misc1","family","macrofauna_foliar"
"Forficulidae",NA,"Forficula","c(""NCBITaxon:13067"", ""NCBI:13067"", ""GBIF:1419844"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"")","RO:0002470","eats","NCBI:3208","Bryophyta",NA,"gratin:hedde_misc1","family","macrofauna_foliar"
"Forficulidae",NA,"Forficula","c(""NCBITaxon:13067"", ""NCBI:13067"", ""GBIF:1419844"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"")","RO:0002470","eats","NCBI:58023","Tracheophyta",NA,"gratin:hedde_misc1","family","macrofauna_foliar"
"Forficulidae",NA,"Forficula","c(""NCBITaxon:13067"", ""NCBI:13067"", ""GBIF:1419844"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"")","RO:0002470","eats","NCBI:3041","Chlorophyta",NA,"gratin:hedde_misc1","family","macrofauna_foliar"
"Forficulidae",NA,"Forficula","c(""NCBITaxon:13067"", ""NCBI:13067"", ""GBIF:1419844"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"")","RO:0002470","eats","NCBI:7147","Diptera",NA,"gratin:hedde_misc1","family","macrofauna_foliar"
"Carabidae",NA,"Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:7088","Lepidoptera",NA,"gratin:hedde_misc1","family","macrofauna_foliar"
"Carabidae",NA,"Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:7147","Diptera",NA,"gratin:hedde_misc1","family","macrofauna_foliar"
"Carabidae",NA,"Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:30001","Collembola",NA,"gratin:hedde_misc1","family","macrofauna_foliar"
"Carabidae",NA,"Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:7055","Scarabaeidae",NA,"gratin:hedde_misc1","family","macrofauna_foliar"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:66547","Endeostigmata",NA,"gratin:hedde_misc1","family","macrofauna_foliar"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:7147","Diptera",NA,"gratin:hedde_misc1","family","macrofauna_foliar"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:34634","Mesostigmata",NA,"gratin:hedde_misc1","family","macrofauna_foliar"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:6893","Araneae",NA,"gratin:hedde_misc1","family","macrofauna_foliar"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:6951","Astigmata",NA,"gratin:hedde_misc1","family","macrofauna_foliar"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:83136","Trombidiformes",NA,"gratin:hedde_misc1","family","macrofauna_foliar"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:6388","Enchytraeidae",NA,"gratin:hedde_misc1","family","macrofauna_foliar"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:66551","Oribatida",NA,"gratin:hedde_misc1","family","macrofauna_foliar"
"Carabidae",NA,"Notiophilus","c(""NCBITaxon:41307"", ""NCBI:41307"", ""GBIF:9161145"", ""https://tree.opentreeoflife.org/opentree/ottol@9996"")","RO:0002470","eats","NCBI:30001","Collembola",NA,"gratin:hedde_misc1","family","macrofauna_foliar"
"Acaridae",NA,"Tyrophagus","c(""NCBITaxon:41443"", ""NCBI:41443"", ""GBIF:2181931"", ""https://tree.opentreeoflife.org/opentree/ottol@986384"")","RO:0002470","eats","NCBI:4751","Fungi",NA,"gratin:hedde_misc1","family","macrofauna_foliar"
