"queryName","queryId","matchName","matchId","guildId","guildName","reference","graph","level","community"
"Spongomonas minima","NA","Spongomonas minima","c(""NCBITaxon:188973"", ""NCBI:188973"", ""https://tree.opentreeoflife.org/opentree/ottol@696942"")","SFWO:0000061","microbivore","NA","onto:implicit","species","protists"
"Spongomonas minima","NA","Spongomonas minima","c(""NCBITaxon:188973"", ""NCBI:188973"", ""https://tree.opentreeoflife.org/opentree/ottol@696942"")","SFWO:0000599","heterotrophic protist","NA","onto:implicit","species","protists"
"Cercomonas fastiga","NA","Cercomonas fastiga","c(""NCBITaxon:686724"", ""NCBI:686724"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","protists"
"Cercomonas fastiga","NA","Cercomonas fastiga","c(""NCBITaxon:686724"", ""NCBI:686724"")","SFWO:0000062","microorganism","NA","onto:implicit","species","protists"
"Cercomonas fastiga","NA","Cercomonas fastiga","c(""NCBITaxon:686724"", ""NCBI:686724"")","ECOCORE:00000088","carnivore","NA","onto:implicit","species","protists"
"Cercomonas fastiga","NA","Cercomonas fastiga","c(""NCBITaxon:686724"", ""NCBI:686724"")","ECOCORE:00000089","predator","NA","onto:implicit","species","protists"
"Cercomonas fastiga","NA","Cercomonas fastiga","c(""NCBITaxon:686724"", ""NCBI:686724"")","SFWO:0000064","protist","NA","onto:implicit","species","protists"
"Cercomonas fastiga","NA","Cercomonas fastiga","c(""NCBITaxon:686724"", ""NCBI:686724"")","SFWO:0000063","omnivore","NA","gratin:fioredonno_cercozoa","species","protists"
"Cercomonas fastiga","NA","Cercomonas fastiga","c(""NCBITaxon:686724"", ""NCBI:686724"")","SFWO:0000599","heterotrophic protist","NA","onto:implicit","species","protists"
"Euglypha rotunda","NA","Euglypha rotunda","c(""NCBITaxon:39714"", ""NCBI:39714"", ""https://tree.opentreeoflife.org/opentree/ottol@247675"")","ECOCORE:00000010","heterotroph","NA","onto:implicit","species","protists"
"Euglypha rotunda","NA","Euglypha rotunda","c(""NCBITaxon:39714"", ""NCBI:39714"", ""https://tree.opentreeoflife.org/opentree/ottol@247675"")","SFWO:0000512","microphytophage","NA","onto:implicit","species","protists"
"Euglypha rotunda","NA","Euglypha rotunda","c(""NCBITaxon:39714"", ""NCBI:39714"", ""https://tree.opentreeoflife.org/opentree/ottol@247675"")","SFWO:0000062","microorganism","NA","onto:implicit","species","protists"
"Euglypha rotunda","NA","Euglypha rotunda","c(""NCBITaxon:39714"", ""NCBI:39714"", ""https://tree.opentreeoflife.org/opentree/ottol@247675"")","ECOCORE:00000088","carnivore","NA","onto:implicit","species","protists"
"Euglypha rotunda","NA","Euglypha rotunda","c(""NCBITaxon:39714"", ""NCBI:39714"", ""https://tree.opentreeoflife.org/opentree/ottol@247675"")","ECOCORE:00000089","predator","NA","onto:implicit","species","protists"
"Euglypha rotunda","NA","Euglypha rotunda","c(""NCBITaxon:39714"", ""NCBI:39714"", ""https://tree.opentreeoflife.org/opentree/ottol@247675"")","ECOCORE:00000098","bacterivore","NA","onto:implicit","species","protists"
