"queryName","community","fun","version","best_level"
"Mymaridae","macrofauna_aerial","guilds","queryName","family"
"Titanoecidae","macrofauna_aerial","guilds","queryName","family"
"Cydnidae","macrofauna_aerial","guilds","queryName","family"
"Phalacridae","macrofauna_aerial","guilds","queryName","family"
"Anthocoridae","macrofauna_aerial","guilds","queryName","family"
"Crabronidae","macrofauna_aerial","guilds","queryName","family"
"Oxyopidae","macrofauna_aerial","guilds","queryName","family"
"Scarabaeidae","macrofauna_aerial","guilds","queryName","family"
"Philodromidae","macrofauna_aerial","guilds","queryName","family"
"Ptiliidae","macrofauna_aerial","guilds","queryName","family"
"Thomisidae","macrofauna_aerial","guilds","queryName","family"
"Scelionidae","macrofauna_aerial","guilds","queryName","family"
"Staphylinidae","macrofauna_aerial","guilds","queryName","family"
"Lasiocampidae","macrofauna_aerial","guilds","queryName","family"
"Tetracampidae","macrofauna_aerial","guilds","queryName","family"
"Tettigoniidae","macrofauna_aerial","guilds","queryName","family"
"Tingidae","macrofauna_aerial","guilds","queryName","family"
"Torymidae","macrofauna_aerial","guilds","queryName","family"
"Delphacidae","macrofauna_aerial","guilds","queryName","family"
"Corylophidae","macrofauna_aerial","guilds","queryName","family"
"Rhyparochromidae","macrofauna_aerial","guilds","queryName","family"
"Choreutidae","macrofauna_aerial","guilds","queryName","family"
"Anthicidae","macrofauna_aerial","guilds","queryName","family"
"Geometridae","macrofauna_aerial","guilds","queryName","family"
"Chalcididae","macrofauna_aerial","guilds","queryName","family"
"Pieridae","macrofauna_aerial","guilds","queryName","family"
"Platygastridae","macrofauna_aerial","guilds","queryName","family"
"Thripidae","macrofauna_foliar","guilds","queryName","family"
"Tenebrionidae","macrofauna_foliar","guilds","queryName","family"
"Aphididae","macrofauna_foliar","guilds","queryName","family"
"Chrysomelidae","macrofauna_foliar","guilds","queryName","family"
"Melyridae","macrofauna_foliar","guilds","queryName","family"
"Scraptiidae","macrofauna_foliar","guilds","queryName","family"
"Ectopsocidae","macrofauna_foliar","guilds","queryName","family"
"Formicidae","macrofauna_foliar","guilds","queryName","family"
"Chloropidae","macrofauna_foliar","guilds","queryName","family"
"Cicadellidae","macrofauna_foliar","guilds","queryName","family"
"Thomisidae","macrofauna_foliar","guilds","queryName","family"
"Miridae","macrofauna_foliar","guilds","queryName","family"
"Pentatomidae","macrofauna_foliar","guilds","queryName","family"
"Mycetophagidae","macrofauna_foliar","guilds","queryName","family"
"Philodromidae","macrofauna_foliar","guilds","queryName","family"
"Theridiidae","macrofauna_foliar","guilds","queryName","family"
"Psocidae","macrofauna_foliar","guilds","queryName","family"
"Platystomatidae","macrofauna_foliar","guilds","queryName","family"
"Apidae","macrofauna_foliar","guilds","queryName","family"
"Mordellidae","macrofauna_foliar","guilds","queryName","family"
"Araneidae","macrofauna_foliar","guilds","queryName","family"
"Eulophidae","macrofauna_foliar","guilds","queryName","family"
"Bibionidae","macrofauna_foliar","guilds","queryName","family"
"Chironomidae","macrofauna_foliar","guilds","queryName","family"
"Pteromalidae","macrofauna_foliar","guilds","queryName","family"
"Geometridae","macrofauna_foliar","guilds","queryName","family"
"Cheiracanthiidae","macrofauna_foliar","guilds","queryName","family"
"Lauxaniidae","macrofauna_foliar","guilds","queryName","family"
"Braconidae","macrofauna_foliar","guilds","queryName","family"
"Staphylinidae","macrofauna_foliar","guilds","queryName","family"
"Gracillariidae","macrofauna_foliar","guilds","queryName","family"
"Forficulidae","macrofauna_foliar","guilds","queryName","family"
"Salticidae","macrofauna_foliar","guilds","queryName","family"
