queryName;queryId;matchName;matchId;trophicGroupId;trophicGroupName;reference;graph
Euglyphida;NA;Assulina muscorum;"c(""NCBITaxon:178368"", ""NCBI:178368"", ""https://tree.opentreeoflife.org/opentree/ottol@300619"")";SFWO:0000270;protists.testate_amoebae;NA;onto:implicit
Euglyphida;NA;Trinema;"c(""NCBITaxon:178371"", ""NCBI:178371"", ""https://tree.opentreeoflife.org/opentree/ottol@875560"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Euglyphida;NA;Trinema;"c(""NCBITaxon:178371"", ""NCBI:178371"", ""https://tree.opentreeoflife.org/opentree/ottol@875560"")";SFWO:0000270;protists.testate_amoebae;NA;onto:implicit
Euglyphida;NA;Trinema enchelys;"c(""NCBITaxon:178372"", ""NCBI:178372"", ""https://tree.opentreeoflife.org/opentree/ottol@875561"", ""GBIF:5425542"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Euglyphida;NA;Trinema enchelys;"c(""NCBITaxon:178372"", ""NCBI:178372"", ""https://tree.opentreeoflife.org/opentree/ottol@875561"", ""GBIF:5425542"")";SFWO:0000270;protists.testate_amoebae;NA;onto:implicit
Euglyphida;NA;Cyphoderiidae;"c(""NCBITaxon:178373"", ""NCBI:178373"", ""https://tree.opentreeoflife.org/opentree/ottol@639619"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Euglyphida;NA;Cyphoderiidae;"c(""NCBITaxon:178373"", ""NCBI:178373"", ""https://tree.opentreeoflife.org/opentree/ottol@639619"")";SFWO:0000270;protists.testate_amoebae;NA;onto:implicit
Euglyphida;NA;Cyphoderia;"c(""NCBITaxon:178374"", ""NCBI:178374"", ""https://tree.opentreeoflife.org/opentree/ottol@875563"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Euglyphida;NA;Cyphoderia;"c(""NCBITaxon:178374"", ""NCBI:178374"", ""https://tree.opentreeoflife.org/opentree/ottol@875563"")";SFWO:0000270;protists.testate_amoebae;NA;onto:implicit
Euglyphida;NA;Corythionella;"c(""NCBITaxon:707167"", ""NCBI:707167"", ""https://tree.opentreeoflife.org/opentree/ottol@1029966"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Euglyphida;NA;Corythionella;"c(""NCBITaxon:707167"", ""NCBI:707167"", ""https://tree.opentreeoflife.org/opentree/ottol@1029966"")";SFWO:0000270;protists.testate_amoebae;NA;onto:implicit
Euglyphida;NA;Placocista;"c(""NCBITaxon:432301"", ""NCBI:432301"", ""https://tree.opentreeoflife.org/opentree/ottol@15831"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Euglyphida;NA;Placocista;"c(""NCBITaxon:432301"", ""NCBI:432301"", ""https://tree.opentreeoflife.org/opentree/ottol@15831"")";SFWO:0000270;protists.testate_amoebae;NA;onto:implicit
Euglyphida;NA;Corythion;"c(""NCBITaxon:432304"", ""NCBI:432304"", ""https://tree.opentreeoflife.org/opentree/ottol@15840"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Euglyphida;NA;Corythion;"c(""NCBITaxon:432304"", ""NCBI:432304"", ""https://tree.opentreeoflife.org/opentree/ottol@15840"")";SFWO:0000270;protists.testate_amoebae;NA;onto:implicit
Euglyphida;NA;Euglypha rotunda;"c(""NCBITaxon:39714"", ""NCBI:39714"", ""https://tree.opentreeoflife.org/opentree/ottol@247675"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Euglyphida;NA;Euglypha rotunda;"c(""NCBITaxon:39714"", ""NCBI:39714"", ""https://tree.opentreeoflife.org/opentree/ottol@247675"")";SFWO:0000270;protists.testate_amoebae;NA;onto:implicit
Euglyphida;NA;Euglypha penardi;"c(""NCBITaxon:432297"", ""NCBI:432297"", ""https://tree.opentreeoflife.org/opentree/ottol@816920"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Euglyphida;NA;Euglypha penardi;"c(""NCBITaxon:432297"", ""NCBI:432297"", ""https://tree.opentreeoflife.org/opentree/ottol@816920"")";SFWO:0000270;protists.testate_amoebae;NA;onto:implicit
Euglyphida;NA;Euglypha compressa;"c(""NCBITaxon:432300"", ""NCBI:432300"", ""https://tree.opentreeoflife.org/opentree/ottol@15830"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Euglyphida;NA;Euglypha compressa;"c(""NCBITaxon:432300"", ""NCBI:432300"", ""https://tree.opentreeoflife.org/opentree/ottol@15830"")";SFWO:0000270;protists.testate_amoebae;NA;onto:implicit
Euglyphida;NA;Corythion dubium;"c(""NCBITaxon:432305"", ""NCBI:432305"", ""https://tree.opentreeoflife.org/opentree/ottol@15841"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
