"","queryName","queryId","matchName","matchId","guildId","guildName","reference","graph"
"190","Atomaria","NA","Atomaria lewisi","c(""NCBITaxon:877803"", ""NCBI:877803"", ""GBIF:5749277"", ""https://tree.opentreeoflife.org/opentree/ottol@899290"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"191","Atomaria","NA","Atomaria lewisi","c(""NCBITaxon:877803"", ""NCBI:877803"", ""GBIF:5749277"", ""https://tree.opentreeoflife.org/opentree/ottol@899290"")","ECOCORE:00000015","fungivore","NA","gratin:gossner_arthropoda"
"192","Atomaria","NA","Atomaria lewisi","c(""NCBITaxon:877803"", ""NCBI:877803"", ""GBIF:5749277"", ""https://tree.opentreeoflife.org/opentree/ottol@899290"")","SFWO:0000512","microphytophage","NA","onto:implicit"
"193","Atomaria","NA","Atomaria lewisi","c(""NCBITaxon:877803"", ""NCBI:877803"", ""GBIF:5749277"", ""https://tree.opentreeoflife.org/opentree/ottol@899290"")","SFWO:0000061","microbivore","NA","onto:implicit"
"194","Atomaria","NA","Atomaria lewisi","c(""NCBITaxon:877803"", ""NCBI:877803"", ""GBIF:5749277"", ""https://tree.opentreeoflife.org/opentree/ottol@899290"")","ECOCORE:00000054","decomposer","NA","onto:implicit"
"195","Atomaria","NA","Atomaria lewisi","c(""NCBITaxon:877803"", ""NCBI:877803"", ""GBIF:5749277"", ""https://tree.opentreeoflife.org/opentree/ottol@899290"")","ECOCORE:00000055","detritivore","NA","gratin:gossner_arthropoda"
"196","Atomaria","NA","Atomaria linearis","c(""NCBITaxon:877804"", ""NCBI:877804"", ""GBIF:5749156"", ""https://tree.opentreeoflife.org/opentree/ottol@899292"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"197","Atomaria","NA","Atomaria linearis","c(""NCBITaxon:877804"", ""NCBI:877804"", ""GBIF:5749156"", ""https://tree.opentreeoflife.org/opentree/ottol@899292"")","ECOCORE:00000015","fungivore","NA","gratin:gossner_arthropoda"
"198","Atomaria","NA","Atomaria linearis","c(""NCBITaxon:877804"", ""NCBI:877804"", ""GBIF:5749156"", ""https://tree.opentreeoflife.org/opentree/ottol@899292"")","SFWO:0000512","microphytophage","NA","onto:implicit"
"199","Atomaria","NA","Atomaria linearis","c(""NCBITaxon:877804"", ""NCBI:877804"", ""GBIF:5749156"", ""https://tree.opentreeoflife.org/opentree/ottol@899292"")","SFWO:0000061","microbivore","NA","onto:implicit"
"200","Atomaria","NA","Atomaria linearis","c(""NCBITaxon:877804"", ""NCBI:877804"", ""GBIF:5749156"", ""https://tree.opentreeoflife.org/opentree/ottol@899292"")","ECOCORE:00000054","decomposer","NA","onto:implicit"
"201","Atomaria","NA","Atomaria linearis","c(""NCBITaxon:877804"", ""NCBI:877804"", ""GBIF:5749156"", ""https://tree.opentreeoflife.org/opentree/ottol@899292"")","ECOCORE:00000055","detritivore","NA","gratin:gossner_arthropoda"
"202","Atomaria","NA","Atomaria turgida","c(""NCBITaxon:877811"", ""NCBI:877811"", ""https://tree.opentreeoflife.org/opentree/ottol@325047"", ""GBIF:5749196"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"203","Atomaria","NA","Atomaria turgida","c(""NCBITaxon:877811"", ""NCBI:877811"", ""https://tree.opentreeoflife.org/opentree/ottol@325047"", ""GBIF:5749196"")","ECOCORE:00000054","decomposer","NA","onto:implicit"
"204","Atomaria","NA","Atomaria turgida","c(""NCBITaxon:877811"", ""NCBI:877811"", ""https://tree.opentreeoflife.org/opentree/ottol@325047"", ""GBIF:5749196"")","ECOCORE:00000055","detritivore","NA","gratin:gossner_arthropoda"
"205","Atomaria","NA","Atomaria turgida","c(""NCBITaxon:877811"", ""NCBI:877811"", ""https://tree.opentreeoflife.org/opentree/ottol@325047"", ""GBIF:5749196"")","ECOCORE:00000015","fungivore","NA","gratin:gossner_arthropoda"
"206","Atomaria","NA","Atomaria turgida","c(""NCBITaxon:877811"", ""NCBI:877811"", ""https://tree.opentreeoflife.org/opentree/ottol@325047"", ""GBIF:5749196"")","SFWO:0000512","microphytophage","NA","onto:implicit"
"207","Atomaria","NA","Atomaria turgida","c(""NCBITaxon:877811"", ""NCBI:877811"", ""https://tree.opentreeoflife.org/opentree/ottol@325047"", ""GBIF:5749196"")","SFWO:0000061","microbivore","NA","onto:implicit"
"208","Calathus","NA","Calathus","c(""NCBITaxon:412111"", ""NCBITaxon:87479"", ""GBIF:4988347"", ""NCBI:87479"", ""NCBI:412111"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
