"","queryName","queryId","matchName","matchId","trophicGroupId","trophicGroupName","reference","graph"
"839","Archaeospora","NA","Archaeospora","c(""NCBITaxon:144514"", ""IF:28457"", ""https://tree.opentreeoflife.org/opentree/ottol@348832"", ""NCBI:144514"", ""GBIF:2560211"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"840","Oculimacula","NA","Oculimacula","c(""NCBITaxon:228665"", ""IF:28777"", ""NCBI:228665"", ""https://tree.opentreeoflife.org/opentree/ottol@44288"", ""GBIF:2584201"")","SFWO:0000409","Fungi.pathotrophs","NA","onto:implicit"
"841","Oculimacula","NA","Oculimacula","c(""NCBITaxon:228665"", ""IF:28777"", ""NCBI:228665"", ""https://tree.opentreeoflife.org/opentree/ottol@44288"", ""GBIF:2584201"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"842","Oculimacula","NA","Oculimacula","c(""NCBITaxon:228665"", ""IF:28777"", ""NCBI:228665"", ""https://tree.opentreeoflife.org/opentree/ottol@44288"", ""GBIF:2584201"")","SFWO:0000412","Fungi.symbiotrophs","NA","onto:implicit"
"843","Oculimacula","NA","Oculimacula","c(""NCBITaxon:228665"", ""IF:28777"", ""NCBI:228665"", ""https://tree.opentreeoflife.org/opentree/ottol@44288"", ""GBIF:2584201"")","SFWO:0000418","Fungi.plant_pathogens","NA","onto:implicit"
"844","Leptosphaerulina","NA","Leptosphaerulina","c(""NCBITaxon:55172"", ""IF:2802"", ""GBIF:2614208"", ""https://tree.opentreeoflife.org/opentree/ottol@335004"", ""NCBI:55172"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"845","Leptosphaerulina","NA","Leptosphaerulina","c(""NCBITaxon:55172"", ""IF:2802"", ""GBIF:2614208"", ""https://tree.opentreeoflife.org/opentree/ottol@335004"", ""NCBI:55172"")","SFWO:0000411","Fungi.saprotrophs","NA","onto:implicit"
"846","Leptosphaerulina","NA","Leptosphaerulina","c(""NCBITaxon:55172"", ""IF:2802"", ""GBIF:2614208"", ""https://tree.opentreeoflife.org/opentree/ottol@335004"", ""NCBI:55172"")","SFWO:0000413","Fungi.wood_saprotrophs","NA","onto:implicit"
"847","Drechmeria","NA","Drechmeria","c(""NCBITaxon:98402"", ""IF:11076"", ""NCBI:98402"", ""GBIF:2562534"", ""https://tree.opentreeoflife.org/opentree/ottol@558089"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"848","Drechmeria","NA","Drechmeria","c(""NCBITaxon:98402"", ""IF:11076"", ""NCBI:98402"", ""GBIF:2562534"", ""https://tree.opentreeoflife.org/opentree/ottol@558089"")","SFWO:0000412","Fungi.symbiotrophs","NA","onto:implicit"
"849","Clonostachys","NA","Clonostachys","c(""NCBITaxon:110564"", ""IF:7701"", ""GBIF:2560861"", ""NCBI:110564"", ""https://tree.opentreeoflife.org/opentree/ottol@802728"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"850","Clonostachys","NA","Clonostachys","c(""NCBITaxon:110564"", ""IF:7701"", ""GBIF:2560861"", ""NCBI:110564"", ""https://tree.opentreeoflife.org/opentree/ottol@802728"")","SFWO:0000411","Fungi.saprotrophs","NA","onto:implicit"
"851","Clonostachys","NA","Clonostachys","c(""NCBITaxon:110564"", ""IF:7701"", ""GBIF:2560861"", ""NCBI:110564"", ""https://tree.opentreeoflife.org/opentree/ottol@802728"")","SFWO:0000413","Fungi.wood_saprotrophs","NA","onto:implicit"
"852","Radulidium","NA","Radulidium","c(""NCBITaxon:470097"", ""IF:504566"", ""GBIF:2591208"", ""https://tree.opentreeoflife.org/opentree/ottol@1013070"", ""NCBI:470097"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"853","Radulidium","NA","Radulidium","c(""NCBITaxon:470097"", ""IF:504566"", ""GBIF:2591208"", ""https://tree.opentreeoflife.org/opentree/ottol@1013070"", ""NCBI:470097"")","SFWO:0000411","Fungi.saprotrophs","NA","onto:implicit"
"854","Penidiella","NA","Penidiella","c(""NCBITaxon:467980"", ""IF:504463"", ""https://tree.opentreeoflife.org/opentree/ottol@597599"", ""NCBI:467980"", ""GBIF:2625023"")","SFWO:0000409","Fungi.pathotrophs","NA","onto:implicit"
"855","Penidiella","NA","Penidiella","c(""NCBITaxon:467980"", ""IF:504463"", ""https://tree.opentreeoflife.org/opentree/ottol@597599"", ""NCBI:467980"", ""GBIF:2625023"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"856","Penidiella","NA","Penidiella","c(""NCBITaxon:467980"", ""IF:504463"", ""https://tree.opentreeoflife.org/opentree/ottol@597599"", ""NCBI:467980"", ""GBIF:2625023"")","SFWO:0000412","Fungi.symbiotrophs","NA","onto:implicit"
"857","Penidiella","NA","Penidiella","c(""NCBITaxon:467980"", ""IF:504463"", ""https://tree.opentreeoflife.org/opentree/ottol@597599"", ""NCBI:467980"", ""GBIF:2625023"")","SFWO:0000418","Fungi.plant_pathogens","NA","onto:implicit"
"858","Cryptocoryneum","NA","Cryptocoryneum","c(""NCBITaxon:1763018"", ""IF:7827"", ""GBIF:2591277"", ""NCBI:1763018"", ""https://tree.opentreeoflife.org/opentree/ottol@4059506"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"859","Cryptocoryneum","NA","Cryptocoryneum","c(""NCBITaxon:1763018"", ""IF:7827"", ""GBIF:2591277"", ""NCBI:1763018"", ""https://tree.opentreeoflife.org/opentree/ottol@4059506"")","SFWO:0000411","Fungi.saprotrophs","NA","onto:implicit"
"860","Cryptocoryneum","NA","Cryptocoryneum","c(""NCBITaxon:1763018"", ""IF:7827"", ""GBIF:2591277"", ""NCBI:1763018"", ""https://tree.opentreeoflife.org/opentree/ottol@4059506"")","SFWO:0000413","Fungi.wood_saprotrophs","NA","onto:implicit"
"861","Ascodesmis","NA","Ascodesmis","c(""NCBITaxon:47182"", ""IF:356"", ""NCBI:47182"", ""GBIF:2594846"", ""https://tree.opentreeoflife.org/opentree/ottol@16915"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"862","Ascodesmis","NA","Ascodesmis","c(""NCBITaxon:47182"", ""IF:356"", ""NCBI:47182"", ""GBIF:2594846"", ""https://tree.opentreeoflife.org/opentree/ottol@16915"")","SFWO:0000411","Fungi.saprotrophs","NA","onto:implicit"
"863","Ascodesmis","NA","Ascodesmis","c(""NCBITaxon:47182"", ""IF:356"", ""NCBI:47182"", ""GBIF:2594846"", ""https://tree.opentreeoflife.org/opentree/ottol@16915"")","SFWO:0000416","Fungi.dung_saprotrophs","NA","onto:implicit"
"864","Melanospora","NA","Melanospora","c(""NCBITaxon:40615"", ""IF:3085"", ""NCBI:40615"", ""https://tree.opentreeoflife.org/opentree/ottol@5982304"", ""GBIF:2565778"")","SFWO:0000409","Fungi.pathotrophs","NA","onto:implicit"
"865","Melanospora","NA","Melanospora","c(""NCBITaxon:40615"", ""IF:3085"", ""NCBI:40615"", ""https://tree.opentreeoflife.org/opentree/ottol@5982304"", ""GBIF:2565778"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"866","Melanospora","NA","Melanospora","c(""NCBITaxon:40615"", ""IF:3085"", ""NCBI:40615"", ""https://tree.opentreeoflife.org/opentree/ottol@5982304"", ""GBIF:2565778"")","SFWO:0000412","Fungi.symbiotrophs","NA","onto:implicit"
"867","Melanospora","NA","Melanospora","c(""NCBITaxon:40615"", ""IF:3085"", ""NCBI:40615"", ""https://tree.opentreeoflife.org/opentree/ottol@5982304"", ""GBIF:2565778"")","SFWO:0000420","Fungi.fungal_parasites","NA","onto:implicit"
"868","Neohelicomyces","NA","Neohelicomyces","c(""NCBITaxon:2058259"", ""IF:818820"", ""NCBI:2058259"", ""GBIF:9731103"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"869","Neohelicomyces","NA","Neohelicomyces","c(""NCBITaxon:2058259"", ""IF:818820"", ""NCBI:2058259"", ""GBIF:9731103"")","SFWO:0000411","Fungi.saprotrophs","NA","onto:implicit"
"870","Neohelicomyces","NA","Neohelicomyces","c(""NCBITaxon:2058259"", ""IF:818820"", ""NCBI:2058259"", ""GBIF:9731103"")","SFWO:0000413","Fungi.wood_saprotrophs","NA","onto:implicit"
"871","Monocillium","NA","Monocillium","c(""NCBITaxon:581188"", ""IF:8976"", ""https://tree.opentreeoflife.org/opentree/ottol@744148"", ""GBIF:2560805"", ""NCBI:581188"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"872","Monocillium","NA","Monocillium","c(""NCBITaxon:581188"", ""IF:8976"", ""https://tree.opentreeoflife.org/opentree/ottol@744148"", ""GBIF:2560805"", ""NCBI:581188"")","SFWO:0000411","Fungi.saprotrophs","NA","onto:implicit"
"873","Monocillium","NA","Monocillium","c(""NCBITaxon:581188"", ""IF:8976"", ""https://tree.opentreeoflife.org/opentree/ottol@744148"", ""GBIF:2560805"", ""NCBI:581188"")","SFWO:0000415","Fungi.litter_saprotrophs","NA","onto:implicit"
"874","Buckleyzyma","NA","Buckleyzyma","c(""NCBITaxon:1798813"", ""IF:813127"", ""https://tree.opentreeoflife.org/opentree/ottol@5985621"", ""GBIF:9702047"", ""NCBI:1798813"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"875","Cunninghamella","NA","Cunninghamella","c(""NCBITaxon:4852"", ""IF:20150"", ""GBIF:2551965"", ""NCBI:4852"", ""https://tree.opentreeoflife.org/opentree/ottol@887965"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"876","Cunninghamella","NA","Cunninghamella","c(""NCBITaxon:4852"", ""IF:20150"", ""GBIF:2551965"", ""NCBI:4852"", ""https://tree.opentreeoflife.org/opentree/ottol@887965"")","SFWO:0000411","Fungi.saprotrophs","NA","onto:implicit"
